1	0.234172553
2	0.182884871
3	0.142020602
4	0.109632807
5	0.084104796
6	0.064100032
7	0.048518684
8	0.036460104
9	0.027190507
10	0.020115269
11	0.014755259
12	0.010726707
13	0.007724167
14	0.005506151
15	0.003883086
16	0.002707274
17	0.00186456
18	0.001267467
19	0.000849571
20	0.000560925
21	0.000364366
22	0.000232553
23	0.000145614
24	8.92993E-05
25	5.35316E-05
26	3.12988E-05
27	1.78028E-05
28	9.82191E-06
29	5.24E-06
30	2.69E-06
31	1.32E-06
32	6.19E-07
33	2.74E-07
34	1.14E-07
35	4.36E-08
36	1.53E-08
37	4.80E-09
38	1.31E-09
39	3.02E-10
40	5.54E-11
41	7.46E-12
42	6.41E-13
43	2.71E-14
44	3.13E-16
45	1.52826E-19
